surname,first_name,Name,Recognized_CLIP via Disco,DD_study,Recognized_Stable V1,"SD V1
study",Tags,"Year of Death 
( if living)",User,sgl imgs,cards folder,batch #
Berkey,John,John Berkey,Yes,x,Yes,x,"fantasy, space, sci-fi",2008,proximasan,x,x,1
Bernard,Émile,Émile Bernard,Yes,x,Yes,x,"impressionism, scene",1941,sureailabs,x,x,3
Bernhard,Ruth,Ruth Bernhard,Yes,x,Yes,x,"monochromatic, photography, nudity",2006,sureailabs,x,x,8
Bernini,Gian Lorenzo,Gian Lorenzo Bernini,Yes,x,Yes,x,"baroque, sculpture",1680,sureailabs,x,x,12
Bertoia,Harry,Harry Bertoia,Yes,x,Yes,x,"sculpture, texture",1978,sureailabs,x,x,12
Beskow,Elsa,Elsa Beskow,Yes,x,Yes,x,"whimsical, art nouveau, beatrix potter",,sureailabs,x,x,5
Beuckelaer,Joachim,Joachim Beuckelaer,Yes,x,Yes,x,"scene, still life",1574,sureailabs,x,x,12
Beuys,Joseph,Joseph Beuys,Yes,x,Yes,x,"abstract, figurativism, photography, monochromatic",1986,sureailabs,x,x,12
Bevacqua,Marta,Marta Bevacqua,Yes,x,Yes,x,"photography, portrait, scene",,sureailabs,x,x,14
Bianchi,Simone,Simone Bianchi,Yes,x,No,x,comics,,sureailabs,x,x,14
Biasi,Alberto,Alberto Biasi,Yes,x,No,x,"abstract, angular",,sureailabs,x,x,14
Bierstadt,Albert,Albert Bierstadt,Yes,x,Yes,x,"landscape, romanticism",1902,KyrickYoung,x,x,1
Biggers,John T.,John T. Biggers,Yes,x,Yes,x,"melanin, abstract, symbolism, vibrant",2001,sureailabs,x,x,13
Bilal,Enki,Enki Bilal,Yes,x,Yes,x,"detailed, sci-fi, comics",,sureailabs,x,x,5
Bilibin,Ivan,Ivan Bilibin,Yes,x,Yes,x,"art nouveau,",1942,EErratica,x,x,1
Billingham,Richard,Richard Billingham,Yes,x,Yes,x,"photography, scene",,sureailabs,x,x,15
Billout,Guy,Guy Billout,Yes,x,Yes,x,"clean, surrealism",,sureailabs,x,x,3
Billy,Butcher,Butcher Billy,Yes,x,Yes,x,"graphic design, pop art, vibrant",,sureailabs,x,x,14
Bing,Ilse,Ilse Bing,Yes,x,Yes,x,"photography, monochromatic",1998,sureailabs,x,x,14
Bing,Xu,Xu Bing,Yes,x,Yes,x,installation,,sureailabs,x,x,14
Bingham,George Caleb,George Caleb Bingham,Yes,x,Yes,x,"luminism, scene",1879,sureailabs,x,x,14
Binkley,Ed,Ed Binkley,Yes,x,Yes,x,"fantasy,",,sureailabs,x,x,9
Birch,Simon,Simon Birch,Yes,x,Yes,x,"figurativism, messy, portrait",,sureailabs,x,x,10
Birch,Thomas,Thomas Birch,Yes,x,Yes,x,"romanticism, seascape, landscape",1766,sureailabs,x,x,15
Birrell,George,George Birrell,Yes,x,Yes,x,"cityscape, vibrant",,sureailabs,x,x,15
Bisley,Simon,Simon Bisley,Yes,x,Yes,x,"comics, dark, detailed",,sureailabs,x,x,2
Bissell,Robert,Robert Bissell,Yes,x,Yes,x,"animals, surrealism, nature, whimsical, children's illustration",,sureailabs,x,x,15
Blacklock,William Kay,William Kay Blacklock,Yes,x,Yes,x,"watercolor, landscape, scene",1924,sureailabs,x,x,15
Blackman,Charles,Charles Blackman,Yes,x,Yes,x,"scene, vibrant, high contrast",2018,sureailabs,x,x,3
Blackmon,Julie,Julie Blackmon,Yes,x,Yes,x,"scene, photography",,sureailabs,x,x,8
Blackshear,Thomas,Thomas Blackshear,Yes,x,Yes,x,"melanin, character, scene",,proximasan,x,x,7
Blackwood,Algernon,Algernon Blackwood,Yes,x,Yes,x,"personality, dark",1951,sureailabs,x,x,11
Blair,Mary,Mary Blair,Yes,x,Yes,x,"whimsical, high contrast, vibrant",1978,KyrickYoung,x,x,2
Blake,Peter,Peter Blake,Yes,x,Yes,x,"pop art, collage",,sureailabs,x,x,15
Blake,Quentin,Quentin Blake,Yes,x,Yes,x,"whimsical, watercolor",,sureailabs,x,x,5
