surname,first_name,Name,Recognized_CLIP via Disco,DD_study,Recognized_Stable V1,"SD V1
study",Tags,"Year of Death 
( if living)",User,sgl imgs,cards folder,batch #
Vesalius,Andreas,Andreas Vesalius,Yes,x,,,,1564,sureailabs,x,x,15
Vess,Charles,Charles Vess,Yes,x,Yes,x,"fantasy, comics",,sureailabs,x,x,8
Vettriano,Jack,Jack Vettriano,Yes,x,,,,,sureailabs,x,x,14
Viertel,Gabriele,Gabriele Viertel,Yes,x,,,,,sureailabs,x,x,14
Vigée Le Brun,Élisabeth,Élisabeth Vigée Le Brun,Yes,x,,,,1842,sureailabs,x,x,8
Villeneuve,Magali,Magali Villeneuve,Yes,x,,,,,sureailabs,x,x,14
Villon,Jacques,Jacques Villon,Yes,x,,,,1963,proximasan,x,x,12
Vilstrup,Signe,Signe Vilstrup,Yes,x,,,,,sureailabs,x,x,14
Viola,Bill,Bill Viola,Yes,x,,,,,proximasan,x,x,11
Vishniac,Roman,Roman Vishniac,Yes,x,,,,1990,sureailabs,x,x,11
Viveros,Brian M.,Brian M. Viveros,Yes,x,Yes,x,"digital, portrait",,sureailabs,x,x,13
Võ,Danh,Danh Võ,Yes,x,,,,,sureailabs,x,x,14
Vogelsang,Elke,Elke Vogelsang,Yes,x,Yes,x,,,proximasan,x,x,12
von Guerard,Eugene,Eugene von Guerard,Yes,x,,,,1901,sureailabs,x,x,9
von Heyl,Charline,Charline von Heyl,Yes,x,,,,,sureailabs,x,x,15
von Jawlensky,Alexej,Alexej von Jawlensky,Yes,x,,,"expressionism, vibrant, portrait, colorful",1941,sureailabs,x,x,3
von Max,Gabriel,Gabriel von Max,Yes,x,,,,1915,sureailabs,x,x,15
von Rydingsvard,Ursula,Ursula von Rydingsvard,Yes,x,,,,,sureailabs,x,x,15
von Unwerth,Ellen,Ellen von Unwerth,Yes,x,,,,,proximasan,x,x,12
von Werefkin,Marianne,Marianne von Werefkin,Yes,x,,,,1938,sureailabs,x,x,4
Vonnoh,Robert,Robert Vonnoh,Yes,x,,,,1933,sureailabs,x,x,10
Voss,Johannes,Johannes Voss,Yes,x,,,,,sureailabs,x,x,8
Vouet,Simon,Simon Vouet,Yes,x,,,,1649,sureailabs,x,x,15
Voysey,CFA,CFA Voysey,Yes,x,,,,1941,proximasan,x,x,12
Vroom,Hendrick Cornelisz,Hendrick Cornelisz Vroom,Yes,x,,,,1640,sureailabs,x,x,7
Vrubel,Mikhail,Mikhail Vrubel,Yes,x,,,"art nouveau, symbolism",1910,sureailabs,x,x,4
Vuillard,Édouard,Édouard Vuillard,Yes,x,,,,1940,sureailabs,x,x,15
Wadsworth,Edward,Edward Wadsworth,Yes,x,,,,1949,sureailabs,x,x,12
Wain,Louis,Louis Wain,Yes,x,Yes,x,"psychedelic, children's illustration, animals",1939,EErratica,x,x,1
Walala,Camille,Camille Walala,Yes,x,,,,,EErratica,x,x,9
Walker,David,David Walker,Yes,x,,,,,sureailabs,x,x,11
Walker,Kara,Kara Walker,Yes,x,,,,,sureailabs,x,x,11
Walker,Nick,Nick Walker,Yes,x,,,,,sureailabs,x,x,12
Walker,Tim,Tim Walker,Yes,x,,,,,sureailabs,x,x,11
Wall,Jeff,Jeff Wall,Yes,x,,,,,sureailabs,x,x,10
Wall,Josephine,Josephine Wall,Yes,x,Yes,x,"psychedelic, detailed, colorful, vibrant",,sureailabs,x,x,8
Wallis,Eric,Eric Wallis,Yes,x,,,,,sureailabs,x,x,11
Wallis,Karen,Karen Wallis,Yes,x,,,,,proximasan,x,x,10
Walotsky,Ron,Ron Walotsky,Yes,x,Yes,x,"sci-fi, fantasy,",2002,proximasan,x,x,1
Walpoth,Bruno,Bruno Walpoth,Yes,x,,,,,sureailabs,x,x,15
Ward,Bill,Bill Ward,Yes,x,Yes,x,"nudity, cartoon",1998,sureailabs,x,x,12
Ward,Lynd,Lynd Ward,Yes,x,,,,1985,EErratica,x,x,9
Ward,Pendleton,Pendleton Ward,Yes,x,,,,,sureailabs,x,x,11
Wardle,Arthur,Arthur Wardle,Yes,x,,,,1949,sureailabs,x,x,9
Ware,Chris,Chris Ware,Yes,x,Yes,x,"cartoon, comics",,sureailabs,x,x,10
Warhol,Andy,Andy Warhol,Yes,x,Yes,x,"pop art, vibrant, portrait",1987,sureailabs,x,x,1
Waterhouse,John William,John William Waterhouse,Yes,x,Yes,x,"romanticism, portrait, scene",1917,sureailabs,x,x,4
Watkiss,John,John Watkiss,Yes,x,Yes,x,"impressionism, dark, romanticism, art nouveau",2017,sureailabs,x,x,12
Watrous,Harry,Harry Watrous,Yes,x,Yes,x,"scene, still life, art nouveau",1940,sureailabs,x,x,12
Watteau,Jean-Antoine,Jean-Antoine Watteau,Yes,x,,,,1721,sureailabs,x,x,4
Watterson,Bill,Bill Watterson,Yes,x,,,,,sureailabs,x,x,10
Watts,George Frederic,George Frederic Watts,Yes,x,,,"dark, portrait",1904,sureailabs,x,x,4
Watts,James Thomas,James Thomas Watts,Yes,x,,,,1930,sureailabs,x,x,8
Waugh,Frederick Judd,Frederick Judd Waugh,Yes,x,Yes,x,"seascape, landscape",1940,sureailabs,x,x,12
Weber,Max,Max Weber,Yes,x,,,,1961,sureailabs,x,x,4
Webster,Walter Ernest,Walter Ernest Webster,Yes,x,,,,1959,sureailabs,x,x,12
Weeks,Edwin Lord,Edwin Lord Weeks,Yes,x,,,,1903,sureailabs,x,x,12
Weems,Carrie Mae,Carrie Mae Weems,Yes,x,,,"photography,",,sureailabs,x,x,12
Wegener,Gerda,Gerda Wegener,Yes,x,,,,1940,sureailabs,x,x,7
Wegman,William,William Wegman,Yes,x,,,"photography, dogs",,sureailabs,x,x,10
Wei,Li,Li Wei,Yes,x,,,,,sureailabs,x,x,11
Weiner,Lawrence,Lawrence Weiner,Yes,x,,,,2021,sureailabs,x,x,15
Weldon,Casey,Casey Weldon,Yes,x,Yes,x,"pop art, surrealism, detailed",,EErratica,x,x,9
Welker,David,David Welker,Yes,x,,,,,sureailabs,x,x,15
Welliver,Neil,Neil Welliver,Yes,x,,,,2005,sureailabs,x,x,9
Welz-Stein,Catrin,Catrin Welz-Stein,Yes,x,Yes,x,"portrait, whimsical, surrealism",,proximasan,x,x,9
Wenders,Wim,Wim Wenders,Yes,x,,,,,sureailabs,x,x,8
Wendt,William,William Wendt,Yes,x,,,,1946,sureailabs,x,x,13
Wenner,Kurt,Kurt Wenner,Yes,x,,,,,proximasan,x,x,12
Wesely,Michael,Michael Wesely,Yes,x,,,,,sureailabs,x,x,13
Wesselmann,Tom,Tom Wesselmann,Yes,x,,,,2004,sureailabs,x,x,13
Wessing,Taylor,Taylor Wessing,Yes,x,,,,,sureailabs,x,x,13
West,Franz,Franz West,Yes,x,,,,2012,sureailabs,x,x,15
Weston,Brett,Brett Weston,Yes,x,,,,1993,sureailabs,x,x,11
Weston,Edward,Edward Weston,Yes,x,,,"photography, monochromatic, still life",1958,sureailabs,x,x,3
Westwood,Vivienne,Vivienne Westwood,Yes,x,,,,,sureailabs,x,x,10
Wetter,Oliver,Oliver Wetter,Yes,x,,,,,sureailabs,x,x,15
Whalen,Tom,Tom Whalen,Yes,x,,,,,proximasan,x,x,12
Whatson,Martin,Martin Whatson,Yes,x,,,,,sureailabs,x,x,15
Whelan,Michael,Michael Whelan,Yes,x,Yes,x,"sci-fi, fantasy",,sureailabs,x,x,2
Whistler,James Abbott McNeill,James Abbott McNeill Whistler,Yes,x,Yes,x,"whimsical, low contrast",1903,sureailabs,x,x,3
Whitaker,William,William Whitaker,Yes,x,,,,2018,sureailabs,x,x,15
White,Tim,Tim White,Yes,x,Yes,x,"sci-fi, fantasy, landscape",2020,proximasan,x,x,1
Whiteley,Brett,Brett Whiteley,Yes,x,,,,1992,sureailabs,x,x,13
Whiteread,Rachel,Rachel Whiteread,Yes,x,,,,,proximasan,x,x,12
Whitmore,Coby,Coby Whitmore,Yes,x,Yes,x,"portrait, scene",1988,KyrickYoung,x,x,2
Whitten,Jack,Jack Whitten,Yes,x,,,,2018,sureailabs,x,x,11
Whittredge,Worthington,Worthington Whittredge,Yes,x,,,,1910,sureailabs,x,x,10
Wiesenfeld,Aron,Aron Wiesenfeld,Yes,x,,,,,sureailabs,x,x,15
Wiesner,David,David Wiesner,Yes,x,Yes,x,"cartoon, children's illustration, whimsical",,sureailabs,x,x,10
Wiggins,Guy Carleton,Guy Carleton Wiggins,Yes,x,,,,1962,proximasan,x,x,12
Wileman,Peter,Peter Wileman,Yes,x,,,,,EErratica,x,x,10
Wiley,Kehinde,Kehinde Wiley,Yes,x,Yes,x,"melanin, photorealism, portrait, vibrant, colorful, detailed",,sureailabs,x,x,9
Wilhelm,John,John Wilhelm,Yes,x,,,,,sureailabs,x,x,7
Wilk,Emilia,Emilia Wilk,Yes,x,,,,,sureailabs,x,x,8
Wilkes,Cathy,Cathy Wilkes,Yes,x,,,,,sureailabs,x,x,14
Wilkins,Edward Blair,Edward Blair Wilkins,Yes,x,,,,,sureailabs,x,x,14
Wilkinson,Arthur Stanley,Arthur Stanley Wilkinson,Yes,x,,,,1930,sureailabs,x,x,13
Williams,Gilbert,Gilbert Williams,Yes,x,Yes,x,"fantasy, landscape",,proximasan,x,x,11
Williams,Kyffin,Kyffin Williams,Yes,x,,,,2006,sureailabs,x,x,13
Williams,Robert,Robert Williams,Yes,x,Yes,x,"detailed, collage, surrealism",,sureailabs,x,x,7
Williamson,Al,Al Williamson,Yes,x,,,"comics, sci-fi, fantasy",2010,sureailabs,x,x,3
Willink,Carel,Carel Willink,Yes,x,,,,1983,sureailabs,x,x,7
Wiltshire,Stephen,Stephen Wiltshire,Yes,x,,,,,sureailabs,x,x,14
Wimberly,Ronald,Ronald Wimberly,Yes,x,,,,,sureailabs,x,x,14
Winkelmann,Mike,Mike Winkelmann,Yes,x,Yes,x,digital,,sureailabs,x,x,2
Winogrand,Garry,Garry Winogrand,Yes,x,,,"photography,",1984,sureailabs,x,x,12
Winterhalter,Franz Xaver,Franz Xaver Winterhalter,Yes,x,Yes,x,"portrait, romanticism",1873,EErratica,x,x,4
Wirth,Nathan,Nathan Wirth,Yes,x,,,,,proximasan,x,x,10
Wittfooth,Martin,Martin Wittfooth,Yes,x,,,,,sureailabs,x,x,11
Wittmann,Klaus,Klaus Wittmann,Yes,x,,,,,sureailabs,x,x,7
Witz,Dan,Dan Witz,Yes,x,,,,,sureailabs,x,x,14
Woelfel,Brandon,Brandon Woelfel,Yes,x,Yes,x,"photography,",,sureailabs,x,x,13
Wojnarowicz,David,David Wojnarowicz,Yes,x,Yes,x,"photography, collage",1992,sureailabs,x,x,16
Wolstenholme,Jonathan,Jonathan Wolstenholme,Yes,x,,,,,proximasan,x,x,11
Wong,Liam,Liam Wong,Yes,x,Yes,x,"photography, colorful, vibrant, sci-fi",,KyrickYoung,x,x,1
Wonner,Paul,Paul Wonner,Yes,x,,,,2008,sureailabs,x,x,7
Wood,Ashley,Ashley Wood,Yes,x,,,,,sureailabs,x,x,7
Wood,Grant,Grant Wood,Yes,x,,,,1942,sureailabs,x,x,7
Wood-Evans,Jake,Jake Wood-Evans,Yes,x,,,,,sureailabs,x,x,15
Woodman,Francesca,Francesca Woodman,Yes,x,,,,1981,sureailabs,x,x,9
Woodring,Jim,Jim Woodring,Yes,x,,,,,sureailabs,x,x,8
Woodroffe,Patrick,Patrick Woodroffe,Yes,x,Yes,x,"sci-fi, surrealism, detailed",2014,proximasan,x,x,5
Woodruff,Hale,Hale Woodruff,Yes,x,,,"figurative, cubism",1980,sureailabs,x,x,4
Wool,Christopher,Christopher Wool,Yes,x,,,,,sureailabs,x,x,15
Worrall,Mike,Mike Worrall,Yes,x,Yes,x,"scene, surrealism",,proximasan,x,x,10
Wray,William,William Wray,Yes,x,,,,,sureailabs,x,x,11
Wrede,Thomas,Thomas Wrede,Yes,x,,,,,sureailabs,x,x,15
Wright,Frank Lloyd,Frank Lloyd Wright,Yes,x,Yes,x,"architecture, arc deco, angular",1959,sureailabs,x,x,7
Wrightson,Bernie,Bernie Wrightson,Yes,x,Yes,x,"horror, comics, high contrast, monochromatic, detailed, dark",2017,sureailabs,x,x,4
Wtewael,Joachim,Joachim Wtewael,Yes,x,,,,1638,sureailabs,x,x,14
Wu,Bayard,Bayard Wu,Yes,x,Yes,x,fantasy,,KyrickYoung,x,x,10
Wu,Tooth,Tooth Wu,Yes,x,,,,,proximasan,x,x,12
Wyeth,Andrew,Andrew Wyeth,Yes,x,,,"realism, scene",2009,sureailabs,x,x,3
Wyeth,N.C.,N.C. Wyeth,Yes,x,,,,1945,proximasan,x,x,12
Wylie,Rose,Rose Wylie,Yes,x,,,,,sureailabs,x,x,14
Wysocki,Charles,Charles Wysocki,Yes,x,,,,2002,sureailabs,x,x,14
Wyspiański,Stanisław,Stanisław Wyspiański,Yes,x,,,,1907,sureailabs,x,x,12
Xuan,Qian,Qian Xuan,Yes,x,,,"landscape, scene",1305,proximasan,x,x,2
Yamamoto,Takato,Takato Yamamoto,Yes,x,Yes,x,"dark, detailed, portrait",,sureailabs,x,x,3
Yang,Gene Luen,Gene Luen Yang,Yes,x,,,,,sureailabs,x,x,10
Yarrow,David,David Yarrow,Yes,x,,,,,sureailabs,x,x,11
Yasunari,Ikenaga,Ikenaga Yasunari,Yes,x,,,,,sureailabs,x,x,11
Ye,Liu,Liu Ye,Yes,x,,,,,sureailabs,x,x,7
Yeats,Jack Butler,Jack Butler Yeats,Yes,x,,,"impressionism, expressionism,",1957,sureailabs,x,x,3
Yeats,John Butler,John Butler Yeats,Yes,x,,,,1922,proximasan,x,x,11
Yerka,Jacek,Jacek Yerka,Yes,x,Yes,x,"detailed, surrealism",,KyrickYoung,x,x,1
Yermolova,Iryna,Iryna Yermolova,Yes,x,,,,,sureailabs,x,x,8
Yiadom-Boakye,Lynette,Lynette Yiadom-Boakye,Yes,x,,,,,sureailabs,x,x,12
Yoon,Dain,Dain Yoon,Yes,x,,,,,sureailabs,x,x,9
Yoro,Sean,Sean Yoro,Yes,x,Yes,x,"street art, portrait",,sureailabs,x,x,10
Yoshida,Akihiko,Akihiko Yoshida,Yes,x,,,,,proximasan,x,x,7
Yoshida,Hiroshi,Hiroshi Yoshida,Yes,x,Yes,x,"ukiyo-e, landscape, detailed",1950,sureailabs,x,x,7
Yoshii,Chie,Chie Yoshii,Yes,x,Yes,x,"character, portrait, detailed",,sureailabs,x,x,11
Yoshioka,Tokujin,Tokujin Yoshioka,Yes,x,Yes,x,"light, architecture, installation, photography",,proximasan,x,x,10
Youll,Stephen,Stephen Youll,Yes,x,,,,,sureailabs,x,x,12
Young,Skottie,Skottie Young,Yes,x,Yes,x,"comics, cartoon, vibrant",,sureailabs,x,x,7
Yue,Xiaofei,Xiaofei Yue,Yes,x,,,,,sureailabs,x,x,11
Yuon,Konstantin,Konstantin Yuon,Yes,x,,,,1958,proximasan,x,x,7
Yuumei,, Yuumei,Yes,x,Yes,x,"digital, whimsical, character",,EErratica,x,x,1
Zabaleta,Rafael,Rafael Zabaleta,Yes,x,,,,1960,sureailabs,x,x,11
Zacharevic,Ernest,Ernest Zacharevic,Yes,x,,,,,sureailabs,x,x,11
Zadkine,Ossip,Ossip Zadkine,Yes,x,,,,1967,sureailabs,x,x,10
Zagar,Isaiah,Isaiah Zagar,Yes,x,,,,,sureailabs,x,x,11
Zatzka,Hans,Hans Zatzka,Yes,x,Yes,x,"realism, scene, romanticism, detailed",1945,sureailabs,x,x,11
Zdarsky,Chip,Chip Zdarsky,Yes,x,Yes,x,,,sureailabs,x,x,10
Zener,Eric,Eric Zener,Yes,x,Yes,x,,,sureailabs,x,x,8
Zenin,Igor,Igor Zenin,Yes,x,Yes,x,,,proximasan,x,x,10
Zhen,Chen,Chen Zhen,Yes,x,,,,2000,proximasan,x,x,10
Zhong,Fenghua,Fenghua Zhong,Yes,x,Yes,x,,,proximasan,x,x,5
Zhuravleva,Anka,Anka Zhuravleva,Yes,x,Yes,x,,,sureailabs,x,x,9
Zirnite,Nele,Nele Zirnite,Yes,x,No,x,"monochromatic, dark, surrealism",,proximasan,x,x,2
Zorach,William,William Zorach,Yes,x,Yes,x,,1966,proximasan,x,x,10
Zorn,Anders,Anders Zorn,Yes,x,Yes,x,,1920,sureailabs,x,x,7
Zumthor,Peter,Peter Zumthor,Yes,x,Yes,x,,,sureailabs,x,x,8
Zupa,Ravi,Ravi Zupa,Yes,x,Yes,x,,,sureailabs,x,x,8
Vivier,Camille,Camille Vivier,Unsure,x,,,,,sureailabs,x,x,14
Yata,Hannah,Hannah Yata,Unsure,x,Yes,,"surrealism, psychedelic, detailed",,sureailabs,x,x,14
Aagaard,Zacharias Martin,Zacharias Martin Aagaard,No,x,No,x,-,1913,KyrickYoung,x,x,2
Aaltonen,Wäinö,Wäinö Aaltonen,No,x,,,-,1966,sureailabs,x,x,3
Abbott,Elenore,Elenore Abbott,No,x,,,-,1935,EErratica,x,x,7
Abe,Yoshitoshi,Yoshitoshi Abe,No,x,,,-,,sureailabs,x,x,5
Adams,Scott,Scott Adams,No,x,,,-,,sureailabs,x,x,7
Adams,Tracey,Tracey Adams,No,x,No,x,,,sureailabs,x,x,12
Afshar,Petros,Petros Afshar,No,x,Yes,x,-,,sureailabs,x,x,5
Aida,Makoto,Makoto Aida,No,x,,,-,,sureailabs,x,x,5
Al Gazzar,Abdel Hadi,Abdel Hadi Al Gazzar,No,x,,,-,1966,sureailabs,x,x,1
Al Halyan,Moosa,Moosa Al Halyan,No,x,,,-,,sureailabs,x,x,1
Albani,Francesco,Francesco Albani,No,x,,,-,1660,proximasan,x,x,12
Alexander,Lena,Lena Alexander,No,x,,,-,1983,sureailabs,x,x,9
Allers,Christian Wilhelm,Christian Wilhelm Allers,No,x,,,-,1915,sureailabs,x,x,5
Allinson,Adrian Paul,Adrian Paul Allinson,No,x,No,x,,1959,sureailabs,x,x,12
Amani,Charly,Charly Amani,No,x,,,-,,sureailabs,x,x,7
Amano,Yumihiko,Yumihiko Amano,No,x,No,x,-,,KyrickYoung,x,x,2
Amaringo,Pablo,Pablo Amaringo,No,x,,,-,2009,sureailabs,x,x,6
Amundsen,Even Mehl,Even Mehl Amundsen,No,x,Yes,x,,,proximasan,x,x,17
Ancher,Helga,Helga Ancher,No,x,No,x,,1964,sureailabs,x,x,12
Angus,Glen,Glen Angus,No,x,No,x,-,2007,KyrickYoung,x,x,2
Anno,Moyoco,Moyoco Anno,No,x,No,x,,,sureailabs,x,x,12
Antigna,Alexandre,Alexandre Antigna,No,x,,,-,1878,sureailabs,x,x,5
Aoki,Shigeru,Shigeru Aoki,No,x,,,-,1911,sureailabs,x,x,7
Aoyama,Tokio,Tokio Aoyama,No,x,No,x,-,,sureailabs,x,x,5
Arakawa,Hiromu,Hiromu Arakawa,No,x,,,-,,sureailabs,x,x,5
Arinouchkine,Andréi,Andréi Arinouchkine,No,x,,,-,,sureailabs,x,x,7
Arms Botke,Jessie,Jessie Arms Botke,No,x,,,-,1971,sureailabs,x,x,5
Aronson,David,David Aronson,No,x,,,-,2015,sureailabs,x,x,3
Art,Kubisi,Kubisi Art,No,x,,,,,sureailabs,x,x,13
Asghar,Anas,Anas Asghar,No,x,,,,,sureailabs,x,x,13
Auffray,Marie-Thérèse,Marie-Thérèse Auffray,No,x,,,-,1990,sureailabs,x,x,3
Avon,John,John Avon,No,x,,,-,,sureailabs,x,x,5
Avril I,Jean-Jacques,Jean-Jacques Avril I,No,x,,,-,1831,sureailabs,x,x,10
Aydogdu,Aykut,Aykut Aydogdu,No,x,,,-,,proximasan,x,x,10
Bá,Gabriel,Gabriel Bá,No,x,,,,,sureailabs,x,x,14
Baizley,John,John Baizley,No,x,No,x,-,,sureailabs,x,x,1
Balbusso,Anna and Elena,Anna and Elena Balbusso,No,x,No,x,-,,KyrickYoung,x,x,2
Barbucci,Alessandro,Alessandro Barbucci,No,x,,,-,,proximasan,x,x,10
Barceló,Tomàs,Tomàs Barceló,No,x,,,-,,sureailabs,x,x,8
Barra,Didier,Didier Barra,No,x,,,-,1656,sureailabs,x,x,1
Barton,Del Kathryn,Del Kathryn Barton,No,x,,,,,proximasan,x,x,13
Bashkirtseff,Marie,Marie Bashkirtseff,No,x,,,-,1884,sureailabs,x,x,5
Baskin,Leonard,Leonard Baskin,No,x,,,-,2000,sureailabs,x,x,3
Basset,Françoise,Françoise Basset,No,x,,,-,1797,sureailabs,x,x,10
Battiss,Walter,Walter Battiss,No,x,No,x,-,1982,sureailabs,x,x,12
Bauck,Joanna,Joanna Bauck,No,x,No,x,-,1926,sureailabs,x,x,12
Bawa,Manjit,Manjit Bawa,No,x,No,x,-,2008,sureailabs,x,x,12
Bechtle,Robert,Robert Bechtle,No,x,No,x,"photorealism, streetscape",2020,proximasan,x,x,13
Becker,Florianne,Florianne Becker,No,x,No,x,,,proximasan,x,x,12
Bedulenko,Max,Max Bedulenko,No,x,,,-,,sureailabs,x,x,5
Beihong,Xu,Xu Beihong,No,x,,,-,1953,proximasan,x,x,10
Belarski,Rudolph,Rudolph Belarski,No,x,Yes,x,"scene, comics",,sureailabs,x,x,13
Bell,Pedro,Pedro Bell,No,x,,,"collage, abstract",2019,proximasan,x,x,13
Bellange,Jacques,Jacques Bellange,No,x,,,,1616,sureailabs,x,x,13
Bendre,Narayan Shridhar,Narayan Shridhar Bendre,No,x,,,-,1992,proximasan,x,x,10
Bennett,Joe,Joe Bennett,No,x,,,,,sureailabs,x,x,13
Benning,Richard,Richard Benning,No,x,,,-,,sureailabs,x,x,7
Benscoter,Wes,Wes Benscoter,No,x,,,"horror,",,sureailabs,x,x,15
Berenstain,Jan,Jan Berenstain,No,x,,,,2012,sureailabs,x,x,13
Berg,Aase,Aase Berg,No,x,No,x,-,,KyrickYoung,x,x,2
Bernea,Horia,Horia Bernea,No,x,,,-,2000,sureailabs,x,x,3
Bevan,Robert,Robert Bevan,No,x,Yes,x,"watercolor, landscape",1925,sureailabs,x,x,13
Beyit,Kerem,Kerem Beyit,No,x,,,,,sureailabs,x,x,14
Bhattacharjee,Bikash,Bikash Bhattacharjee,No,x,,,-,2006,sureailabs,x,x,7
Biddle,George,George Biddle,No,x,,,-,1973,sureailabs,x,x,3
Bissette,Stephen,Stephen Bissette,No,x,,,-,,sureailabs,x,x,4
Blanché,Pascal,Pascal Blanché,No,x,No,x,-,,sureailabs,x,x,2
Blasingame,Marguerite,Marguerite Blasingame,No,x,No,x,-,1947,KyrickYoung,x,x,2
Bleyl,Fritz,Fritz Bleyl,No,x,,,-,1966,sureailabs,x,x,3
Bliss,Stephen,Stephen Bliss,No,x,,,-,,sureailabs,x,x,8
Bloch,Albert,Albert Bloch,No,x,,,-,1961,proximasan,x,x,10
Bloom,Hyman,Hyman Bloom,No,x,,,-,2009,sureailabs,x,x,3
Blume,Peter,Peter Blume,No,x,,,-,1992,sureailabs,x,x,3
Bocchio,Carlo,Carlo Bocchio,No,x,,,-,,sureailabs,x,x,2
Bodo,Camille-Pierre Pambu,Camille-Pierre Pambu Bodo,No,x,,,-,,sureailabs,x,x,2
Bogen,Alexander,Alexander Bogen,No,x,,,-,2010,proximasan,x,x,1
Bogomazov,Oleksandr,Oleksandr Bogomazov,No,x,,,-,1930,sureailabs,x,x,8
Boily,Louis-Léopold,Louis-Léopold Boily,No,x,,,,1845,sureailabs,x,x,15
Bolton,John,John Bolton,No,x,,,-,,sureailabs,x,x,4
Bonner,Paul,Paul Bonner,No,x,,,-,,sureailabs,x,x,5
Bonson,Tom,Tom Bonson,No,x,,,,,proximasan,x,x,13
Boquet,François,François Boquet,No,x,,,-,1987,sureailabs,x,x,10
Bouzianis,George,George Bouzianis,No,x,,,-,1959,sureailabs,x,x,3
Bracht,Eugen,Eugen Bracht,No,x,,,,1921,proximasan,x,x,16
Brauer,Arik,Arik Brauer,No,x,,,-,2021,sureailabs,x,x,2
Bredenbekk,Børge,Børge Bredenbekk,No,x,,,-,,sureailabs,x,x,5
Breton,Elisa,Elisa Breton,No,x,,,-,2000,KyrickYoung,x,x,2
Bridgwater,Emmy,Emmy Bridgwater,No,x,,,-,1999,KyrickYoung,x,x,2
Britenbucher,Renie,Renie Britenbucher,No,x,,,-,,KyrickYoung,x,x,1
Broom,Lee,Lee Broom,No,x,,,,,sureailabs,x,x,15
Brosnan,Pierce,Pierce Brosnan,No,x,,,-,,KyrickYoung,x,x,2
Brundage,Margaret,Margaret Brundage,No,x,No,x,,1976,sureailabs,x,x,13
Brunet,Marc,Marc Brunet,No,x,,,,,proximasan,x,x,16
Bruyn the Elder,Barthel,Barthel Bruyn the Elder,No,x,,,,1555,proximasan,x,x,16
Bruyn the Younger,Barthel,Barthel Bruyn the Younger,No,x,,,,1610,proximasan,x,x,16
Bua,Justin,Justin Bua,No,x,,,"surrealism,",,proximasan,x,x,16
Buffet,Warren,Warren Buffet,No,x,,,-,,sureailabs,x,x,1
Busciglio,Nicholas,Nicholas Busciglio,No,x,,,"figurativism, impressionism",,proximasan,x,x,16
Bush,George,George Bush,No,x,,,-,,KyrickYoung,x,x,2
Busiek,Kurt,Kurt Busiek,No,x,,,,,proximasan,x,x,16
Buzzelli,Guido,Guido Buzzelli,No,x,,,-,1992,sureailabs,x,x,10
Caffi,Ippolito,Ippolito Caffi,No,x,,,,1866,proximasan,x,x,16
Calder,Alexander Milne,Alexander Milne Calder,No,x,No,x,"sculpture, ",1923,sureailabs,x,x,6
Caliari,Benedetto,Benedetto Caliari,No,x,,,,1598,proximasan,x,x,16
Camargo,Iberê,Iberê Camargo,No,x,,,,1994,sureailabs,x,x,15
Campendonk,Heinrich,Heinrich Campendonk,No,x,,,,1957,sureailabs,x,x,3
Camuncoli,Giuseppe,Giuseppe Camuncoli,No,x,,,,,proximasan,x,x,16
Caniglia,Jeremy,Jeremy Caniglia,No,x,,,,,KyrickYoung,x,x,2
Cantone,Giovanni Gabriele,Giovanni Gabriele Cantone,No,x,No,x,"baroque, romanticism, portrait",1800,sureailabs,x,x,12
Canty,Thomas,Thomas Canty,No,x,,,,,KyrickYoung,x,x,2
Capullo,Greg,Greg Capullo,No,x,,,,,proximasan,x,x,16
Carbonell,Nacho,Nacho Carbonell,No,x,No,x,"sculpture, light, installation",,sureailabs,x,x,12
Caron,Marcel,Marcel Caron,No,x,,,,1961,sureailabs,x,x,3
Carreño de Miranda,Juan,Juan Carreño de Miranda,No,x,,,,1685,sureailabs,x,x,9
Carson,David,David Carson,No,x,Yes,x,graphic design,1983,proximasan,x,x,17
Carte,Anto,Anto Carte,No,x,,,,1954,sureailabs,x,x,3
Carter,Keith,Keith Carter,No,x,,,,,proximasan,x,x,16
Castiglione,Giovanni Benedetto,Giovanni Benedetto Castiglione,No,x,,,,1664,KyrickYoung,x,x,2
Catargi,Henri,Henri Catargi,No,x,No,x,"impressionism, still life, landscape",1976,sureailabs,x,x,12
Cawén,Alvar,Alvar Cawén,No,x,,,-,1935,sureailabs,x,x,3
Cearley,Clint,Clint Cearley,No,x,,,-,,proximasan,x,x,9
Chan,Pierre-Mony,Pierre-Mony Chan,No,x,No,x,-,,sureailabs,x,x,12
Chebokha,Artem,Artem Chebokha,No,x,,,-,,KyrickYoung,x,x,1
Chernik,Echo,Echo Chernik,No,x,,,-,,sureailabs,x,x,8
Chevalier,Li,Li Chevalier,No,x,,,,,proximasan,x,x,13
Chiang,Doug,Doug Chiang,No,x,,,,,sureailabs,x,x,15
Chin,Zeen,Zeen Chin,No,x,No,x,,,proximasan,x,x,12
Chuangxing,Zeng,Zeng Chuangxing,No,x,,,,,sureailabs,x,x,13
Chung,Peter,Peter Chung,No,x,,,,,sureailabs,x,x,14
Cinar,Yildiray,Yildiray Cinar,No,x,,,,,sureailabs,x,x,14
CLAMP,, CLAMP,No,x,,,-,,proximasan,x,x,5
