address,lat,long
"20 Royal Canal Court, Ashtown, Dublin 15",53.3760585,-6.326119
"21 Loughcrew Hills, Oldcastle",,
"22  Glendale Lawn, Old Singland Road",,
"22 ORWELL GARDENS, RATHGAR",,
"22 Proudstown, Navan, Co Meath",53.684154299999996,-6.6785660158768705
"22 Rockhill Caravan Park, Kerrykeel",,
"24 Glencairn Crescent, The Gallops, Sandyford",,
"25 Manor Hill, Charleville",52.362308899999995,-8.68553962195904
"27 Broadfield Avenue, Rathcoole",,
"27 Browneshill Wood, Browneshill Road, Carlow",,
"29 Castleview Avenue, Swords",53.472462,-6.2375642
"3 clerm terrace, south douglas road",,
"30  Oranisland, Oranmore, Co. Galway",,
"32 The Brambles, Classes Lake, Ovens",51.8855114,-8.6253817
"32 westbrook green, balbriggan",53.6097655,-6.1989051
"4 Carlton Park, Redcastle",,
"4 Ridgewood Close, Skerries",,
"4 The Pines, Bridgemount, Carrigaline",,
"43 ballyvareen estate, kildimo",,
"43 Glen Carra, Knock, County Mayo",,
"5 Cornmarket Street, Birr",,
"52 Cartur Mor, Clybaun Road, Galway",53.27467585,-9.10292153533049
"58 Achill Square, Waterville, Blanchardstown",53.3924226,-6.3672958
"60/61 The Elms, Mount Merrion Avenue, Blackrock",,
"7 Woodside, Rathnew",52.9951715,-6.0798125999999995
"70 Farren Park, Waterford",,
"Apt 3  Block 10  Gallery Quay, Grand Canal Square  Dublini 2",,
"Ballycharry, Lecamey, Culdaff",,
"Carnaglough, Bonniconlon, Ballina",,
"cushanna, college road, clane",,
"harwood, gurteenroe, macroom",51.91365355,-8.979518196414881
"Keelnaback, Glenbeigh",,
"Monine, Ardpatrick",,
"Mount Rath, Ardee Road, County Louth",,
"No 45 Boughlone Way, Bellingham, Portlaoise",53.0311174,-7.329675
"No. 10 Brickfield Gardens, Newry Road, Dundalk",,
"No.7 Oldtown Court, Clongeen, New Ross",,
"No.7 Oldtown Court, Clongeen, New Ross",,
"sraghmore, roundwood",,
"The Kerries, Tralee, Co Kerry",52.2688778,-9.7233739
"The Mayne, Clonee, Co. Meath",53.429468799999995,-6.429164957477901
"Upper Main Street, Borris",,
"1 Loreto Row, Rathfarnham",53.290328099999996,-6.2719934
"1 THE GRANGE, KILMORE",,
"10 Mounttown Park, Dun Laoghaire",53.285831200000004,-6.1445872999999995
"108 Churchview Road, Killiney",53.25868515,-6.13738039938886
"10, Hollywell Way, Kilcoole",,
"10, Mount Anville Wood, Stillorgan",53.29028149999999,-6.21896331637636
"110 CIANLEA, SWORDS",53.4674963,-6.2395295
"12 Hermitage Road, Lucan",53.3576332,-6.4198751
"142 Turvey Walk, Donabate, County Dublin",,
"153 Wyckham Point, Wyckham Way, Dumdrum",,
"16 Gallowhill Court, Kildare Road, Athy",,
"17a Boghall Cottages, Boghall Road, Bray",,
"19 Westbrook Avenue, Balbriggan",53.6097779,-6.196655799999999
"20 Beechdale, Dunboyne, Co. Meath",53.413448800000005,-6.465571700000001
"23 Droimeala, Clonmel",,
"26 Park Square, Grangerath, Drogheda",,
"3 Cosher Close, Kimuckridge",,
"3 POWERSCOURT MEWS, PRIESTS ROAD, TRAMORE",,
"33  Leinster Square, Rathmines, Dublin 6",53.3233136818182,-6.26631841818182
"4 Airpark Rise, Rathfarnham, Dublin 16",53.274919,-6.3039249
"401 Gracepark Heights, Drumcondra",,
"41 Silchester Park, Glenageary, Dun Laoghaire",53.2814935,-6.13169952397611
"5  Craddockstown Court, Ballymore Road, Naas",,
"5  Russell Avenue, Dublin 3",53.361528,-6.2551267
"6 Cuil an Bharraigh, Cockhill, KIlcummin",,
"6 Mount Symon Crescent, Clonsilla, Dublin 15",53.388848200000005,-6.4245813
"6 The Bungalows, Pearse Park, Dundalk",,
"61 OAKLEIGH, TRIM ROAD, LONGWOOD",,
"7 Shanowen Drive, Santry, Dublin",53.3887554,-6.2477998
"7 The Coppins, Castletown, Celbridge",53.345417700000006,-6.5387884000000005
"8  PALMERS GLADE, PALMERSTOWN",53.34837220000001,-6.382653400000001
"9 CastlePark, Ballybane",,
"9 Monastery Gate Lawns, Clondalkin, Dublin 22",53.32023255,-6.37397924334178
"Apartment 17, Hybreasal, South Circular Road",,
"Ashton, Blackrock Road",51.89339055,-8.45195007068704
"Glenbeg, Dungourney",51.96440505,-8.12585657353651
"Rineys Bar, South Square, Sneem",51.8380797,-9.899149000000001
"Station View, Donbate",,
"'Tara Cottage', Monemore, Emly",,
"1 Cashelreagh, New Mills, Letterkenny",,
"10 Ashlawn, Clerihan, Clonmel",,
"10 BELTON PARK GARDENS, DONNYCARNEY",,
"10 Kilmantin Road, otherwise Fairview Road, Wicklow",,
"108 CREAGAN, BARNA",53.252603500000006,-9.1561336
"11 Alderpark Court, Springfield, Tallaght",53.2849501,-6.3776247
"11 Fitzgerald Street, Harolds Cross",,
"11 Griffeen Glen Boulevard, Lucan",53.340613399999995,-6.433276861714161
"12 Cherrybrook, Foxburrow, Portlaoise",53.03634029999999,-7.269161
"12 holywell way, sea road, kilcoole",,
"13 Crannog, Lagore Road, Dunshaughlin",,
"13 knockanpierce, nenagh",52.8593048,-8.203007306538879
"13 Port Alainn, Knockvicar",,
"14 Dawson Court, Cross Avenue, Blackrock",,
"15 Ardkill Place, Garrymore, Ballinagh",53.92386260000001,-7.4146087
"15 Radharc na Mara, Ballyvergan, Youghal",,
"16 Stocking Wood Manor, Stocking Avenue, Rathfarnham",53.2717572,-6.3153334999999995
"17 lyons Avenue South, Newscastle",,
"17 Mount Garrett Park, Tyrrelstown",53.4228412,-6.393199500000001
"171 Belmont Park, Raheny",,
"18 Glasnevin Woods, Ballyboggan Road, Glasnevin",,
"19 golden ridge avenue, skerries road, rush",,
"19A Waterside Crescent, Portmarnock",53.436828500000004,-6.134589599999999
"2 Braemor Avenue, Churchtown",53.3006466,-6.261447957438651
"2 HARBOUR VILLAGE, WESTPORT",53.797394,-9.5440921
"20 aspen lawns, clonsilla, d 15",,
"21 Carraig an Oir, Tobarteascain, Ennis",,
"22 Rathoath Drive, Finglas, Dublin 11",,
"26 PINEWOOD PARK, RATHFARNHAM",53.2909024,-6.2964286
"3 Oliver Plunkett Avenue, Monkstown Farm, Monkstown",,
"30 Booterstown Avenue, Booterstown",53.3060339,-6.197400900000001
"31 Derrynane Gardens, Sandymount, Dublin 4",,
"32 Pinewood Grove, Bay Estate, Dundalk",53.998379799999995,-6.375047400000001
"33 Carysfort Park, Blackrock",53.2929371,-6.1822253786436105
"33 Whitethorn Hill, Tullaskeagh, Roscrea",,
"339 GRIFFITH AVENUE, DRUMCONDRA",53.377430000000004,-6.25656722976337
"34 The Pines, Howth Road, Killester",,
"35 Fernleigh, Sandyford",53.26542885,-6.217539438968361
"42 Cedar Lawn, The Cedars, Ridgewood  Swords",,
"43 Cluainin, Tullyvarraga, Shannon",,
"43 Deer park Road, Castleknock",53.37045229999999,-6.348859200000001
"46A Orchard Court, Blackpool, Cork",51.912607,-8.474177800000001
"56 The Pines, Howth Road, Killester",,
"58-65 Knockroe Glen, Knockroe, Monaghan",,
"6 Lough Atalia Grove, Renmore, Galway",53.275665000000004,-9.0284213
"7 LAKEVIEW, BALLYBAY ROAD, COOTEHILL",,
