date,sex,year,deaths
2009-02-25,F,2009,39
2009-02-25,M,2009,39
2009-02-26,F,2009,19
2009-02-26,M,2009,34
2009-02-27,F,2009,41
2009-02-27,M,2009,31
2009-02-28,F,2009,31
2009-02-28,M,2009,32
2009-03-01,F,2009,41
2009-03-01,M,2009,52
2009-03-02,F,2009,31
2009-03-02,M,2009,37
2009-03-03,F,2009,34
2009-03-03,M,2009,35
2009-03-04,F,2009,42
2009-03-04,M,2009,40
2009-03-05,F,2009,35
2009-03-05,M,2009,46
2009-03-06,F,2009,36
2009-03-06,M,2009,33
2009-03-07,F,2009,33
2009-03-07,M,2009,41
2009-03-08,F,2009,32
2009-03-08,M,2009,34
2009-03-09,F,2009,31
2009-03-09,M,2009,32
2009-03-10,F,2009,28
2009-03-10,M,2009,28
2009-03-11,F,2009,36
2009-03-11,M,2009,46
2009-03-12,F,2009,35
2009-03-12,M,2009,31
2009-03-13,F,2009,32
2009-03-13,M,2009,28
2009-03-14,F,2009,29
2009-03-14,M,2009,39
2009-03-15,F,2009,27
2009-03-15,M,2009,34
2009-03-16,F,2009,43
2009-03-16,M,2009,27
2009-03-17,F,2009,26
2009-03-17,M,2009,33
2009-03-18,F,2009,33
2009-03-18,M,2009,36
2009-03-19,F,2009,32
2009-03-19,M,2009,29
2009-03-20,F,2009,36
2009-03-20,M,2009,28
2009-03-21,F,2009,40
2009-03-21,M,2009,30
2009-03-22,F,2009,36
2009-03-22,M,2009,32
2009-03-23,F,2009,39
2009-03-23,M,2009,35
2009-03-24,F,2009,39
2009-03-24,M,2009,39
2009-03-25,F,2009,35
2009-03-25,M,2009,51
2009-03-26,F,2009,40
2009-03-26,M,2009,27
2009-03-27,F,2009,29
2009-03-27,M,2009,41
2009-03-28,F,2009,38
2009-03-28,M,2009,39
2009-03-29,F,2009,34
2009-03-29,M,2009,45
2009-03-30,F,2009,44
2009-03-30,M,2009,27
2009-03-31,F,2009,37
2009-03-31,M,2009,37
2009-04-01,F,2009,28
2009-04-01,M,2009,30
2009-04-02,F,2009,31
2009-04-02,M,2009,40
2009-04-03,F,2009,30
2009-04-03,M,2009,44
2009-04-04,F,2009,34
2009-04-04,M,2009,27
2009-04-05,F,2009,29
2009-04-05,M,2009,31
2009-04-06,F,2009,31
2009-04-06,M,2009,46
2009-04-07,F,2009,26
2009-04-07,M,2009,30
2009-04-08,F,2009,41
2009-04-08,M,2009,53
2009-04-09,F,2009,37
2009-04-09,M,2009,37
2009-04-10,F,2009,33
2009-04-10,M,2009,34
2009-04-11,F,2009,38
2009-04-11,M,2009,31
2009-04-12,F,2009,41
2009-04-12,M,2009,44
2009-04-13,F,2009,33
2009-04-13,M,2009,46
2009-04-14,F,2009,28
2009-04-14,M,2009,44
2009-04-15,F,2009,29
2009-04-15,M,2009,31
2009-04-16,F,2009,33
2009-04-16,M,2009,59
2009-04-17,F,2009,41
2009-04-17,M,2009,43
2009-04-18,F,2009,26
2009-04-18,M,2009,27
2009-04-19,F,2009,29
2009-04-19,M,2009,27
2009-04-20,F,2009,36
2009-04-20,M,2009,33
2009-04-21,F,2009,22
2009-04-21,M,2009,34
2009-04-22,F,2009,38
2009-04-22,M,2009,34
2009-04-23,F,2009,33
2009-04-23,M,2009,32
2009-04-24,F,2009,35
2009-04-24,M,2009,33
2009-04-25,F,2009,36
2009-04-25,M,2009,47
2009-04-26,F,2009,40
2009-04-26,M,2009,40
2009-04-27,F,2009,29
2009-04-27,M,2009,44
2009-04-28,F,2009,33
2009-04-28,M,2009,31
2009-04-29,F,2009,29
2009-04-29,M,2009,45
2009-04-30,F,2009,37
2009-04-30,M,2009,31
2009-05-01,F,2009,51
2009-05-01,M,2009,37
2009-05-02,F,2009,38
