"Statistic","Day","Sex","UNIT","VALUE"
"RIP.ie death notices","2020 July 28","Both sexes","Number","44"
"RIP.ie death notices","2020 July 29","Both sexes","Number","66"
"RIP.ie death notices","2020 July 30","Both sexes","Number","82"
"RIP.ie death notices","2020 July 31","Both sexes","Number","63"
"RIP.ie death notices","2020 August 01","Both sexes","Number","74"
"RIP.ie death notices","2020 August 02","Both sexes","Number","78"
"RIP.ie death notices","2020 August 03","Both sexes","Number","80"
"RIP.ie death notices","2020 August 04","Both sexes","Number","67"
"RIP.ie death notices","2020 August 05","Both sexes","Number","93"
"RIP.ie death notices","2020 August 06","Both sexes","Number","74"
"RIP.ie death notices","2020 August 07","Both sexes","Number","87"
"RIP.ie death notices","2020 August 08","Both sexes","Number","64"
"RIP.ie death notices","2020 August 09","Both sexes","Number","71"
"RIP.ie death notices","2020 August 10","Both sexes","Number","72"
"RIP.ie death notices","2020 August 11","Both sexes","Number","71"
"RIP.ie death notices","2020 August 12","Both sexes","Number","77"
"RIP.ie death notices","2020 August 13","Both sexes","Number","85"
"RIP.ie death notices","2020 August 14","Both sexes","Number","74"
"RIP.ie death notices","2020 August 15","Both sexes","Number","73"
"RIP.ie death notices","2020 August 16","Both sexes","Number","78"
"RIP.ie death notices","2020 August 17","Both sexes","Number","76"
"RIP.ie death notices","2020 August 18","Both sexes","Number","75"
"RIP.ie death notices","2020 August 19","Both sexes","Number","61"
"RIP.ie death notices","2020 August 20","Both sexes","Number","82"
"RIP.ie death notices","2020 August 21","Both sexes","Number","72"
"RIP.ie death notices","2020 August 22","Both sexes","Number","81"
"RIP.ie death notices","2020 August 23","Both sexes","Number","93"
"RIP.ie death notices","2020 August 24","Both sexes","Number","69"
"RIP.ie death notices","2020 August 25","Both sexes","Number","83"
"RIP.ie death notices","2020 August 26","Both sexes","Number","79"
"RIP.ie death notices","2020 August 27","Both sexes","Number","69"
"RIP.ie death notices","2020 August 28","Both sexes","Number","74"
"RIP.ie death notices","2020 August 29","Both sexes","Number","73"
"RIP.ie death notices","2020 August 30","Both sexes","Number","94"
"RIP.ie death notices","2020 August 31","Both sexes","Number","61"
"RIP.ie death notices","2020 September 01","Both sexes","Number","79"
"RIP.ie death notices","2020 September 02","Both sexes","Number","74"
"RIP.ie death notices","2020 September 03","Both sexes","Number","85"
"RIP.ie death notices","2020 September 04","Both sexes","Number","77"
"RIP.ie death notices","2020 September 05","Both sexes","Number","82"
"RIP.ie death notices","2020 September 06","Both sexes","Number","76"
"RIP.ie death notices","2020 September 07","Both sexes","Number","74"
"RIP.ie death notices","2020 September 08","Both sexes","Number","107"
"RIP.ie death notices","2020 September 09","Both sexes","Number","80"
"RIP.ie death notices","2020 September 10","Both sexes","Number","92"
"RIP.ie death notices","2020 September 11","Both sexes","Number","84"
"RIP.ie death notices","2020 September 12","Both sexes","Number","79"
"RIP.ie death notices","2020 September 13","Both sexes","Number","89"
"RIP.ie death notices","2020 September 14","Both sexes","Number","97"
"RIP.ie death notices","2020 September 15","Both sexes","Number","73"
"RIP.ie death notices","2020 September 16","Both sexes","Number","69"
"RIP.ie death notices","2020 September 17","Both sexes","Number","60"
"RIP.ie death notices","2020 September 18","Both sexes","Number","78"
"RIP.ie death notices","2020 September 19","Both sexes","Number","67"
"RIP.ie death notices","2020 September 20","Both sexes","Number","71"
"RIP.ie death notices","2020 September 21","Both sexes","Number","68"
"RIP.ie death notices","2020 September 22","Both sexes","Number","88"
"RIP.ie death notices","2020 September 23","Both sexes","Number","65"
"RIP.ie death notices","2020 September 24","Both sexes","Number","77"
"RIP.ie death notices","2020 September 25","Both sexes","Number","69"
"RIP.ie death notices","2020 September 26","Both sexes","Number","77"
"RIP.ie death notices","2020 September 27","Both sexes","Number","93"
"RIP.ie death notices","2020 September 28","Both sexes","Number","102"
"RIP.ie death notices","2020 September 29","Both sexes","Number","81"
"RIP.ie death notices","2020 September 30","Both sexes","Number","87"
"RIP.ie death notices","2020 October 01","Both sexes","Number","102"
"RIP.ie death notices","2020 October 02","Both sexes","Number","81"
"RIP.ie death notices","2020 October 03","Both sexes","Number","85"
"RIP.ie death notices","2020 October 04","Both sexes","Number","80"
"RIP.ie death notices","2020 October 05","Both sexes","Number","91"
"RIP.ie death notices","2020 October 06","Both sexes","Number","73"
"RIP.ie death notices","2020 October 07","Both sexes","Number","84"
"RIP.ie death notices","2020 October 08","Both sexes","Number","81"
"RIP.ie death notices","2020 October 09","Both sexes","Number","88"
"RIP.ie death notices","2020 October 10","Both sexes","Number","92"
"RIP.ie death notices","2020 October 11","Both sexes","Number","91"
