Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2016,    05,  09,      9.512,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160509_f18_nrt_s.bin
2016,    05,  10,      9.528,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160510_f18_nrt_s.bin
2016,    05,  11,      9.600,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160511_f18_nrt_s.bin
2016,    05,  12,      9.644,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160512_f18_nrt_s.bin
2016,    05,  13,      9.770,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160513_f18_nrt_s.bin
2016,    05,  14,      9.871,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160514_f18_nrt_s.bin
2016,    05,  15,      9.976,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160515_f18_nrt_s.bin
2016,    05,  16,     10.104,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160516_f18_nrt_s.bin
2016,    05,  17,     10.245,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160517_f18_nrt_s.bin
2016,    05,  18,     10.300,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160518_f18_nrt_s.bin
2016,    05,  19,     10.485,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160519_f18_nrt_s.bin
2016,    05,  20,     10.539,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160520_f18_nrt_s.bin
2016,    05,  21,     10.659,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160521_f18_nrt_s.bin
2016,    05,  22,     10.690,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160522_f18_nrt_s.bin
2016,    05,  23,     10.744,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160523_f18_nrt_s.bin
2016,    05,  24,     10.846,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160524_f18_nrt_s.bin
2016,    05,  25,     10.938,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160525_f18_nrt_s.bin
2016,    05,  26,     10.918,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160526_f18_nrt_s.bin
2016,    05,  27,     11.019,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160527_f18_nrt_s.bin
2016,    05,  28,     11.085,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160528_f18_nrt_s.bin
2016,    05,  29,     11.089,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160529_f18_nrt_s.bin
2016,    05,  30,     11.124,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160530_f18_nrt_s.bin
2016,    05,  31,     11.253,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160531_f18_nrt_s.bin
2016,    06,  01,     11.381,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160601_f18_nrt_s.bin
2016,    06,  02,     11.495,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160602_f18_nrt_s.bin
2016,    06,  03,     11.675,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160603_f18_nrt_s.bin
2016,    06,  04,     11.750,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160604_f18_nrt_s.bin
2016,    06,  05,     11.953,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160605_f18_nrt_s.bin
2016,    06,  06,     12.127,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160606_f18_nrt_s.bin
2016,    06,  07,     12.246,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160607_f18_nrt_s.bin
2016,    06,  08,     12.370,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160608_f18_nrt_s.bin
2016,    06,  09,     12.492,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160609_f18_nrt_s.bin
2016,    06,  10,     12.567,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160610_f18_nrt_s.bin
