Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID
2020/03/18 11:00:00+00,9,6457,6448,395,6.1,0,0,0,0,1
2020/03/19 11:00:00+00,40,7403,7363,465,6.3,946,0,0,0,2
2020/03/20 11:00:00+00,599,8872,8273,570,6.4,1469,0,0,0,3
2020/03/21 11:00:00+00,1261,10436,9175,625,6,1564,0,0,0,4
2020/03/22 11:00:00+00,1370,11414,10044,744,6.5,978,0,0,0,5
2020/03/23 11:00:00+00,2944,13995,11051,857,6.1,2581,0,0,0,6
2020/03/24 11:00:00+00,3360,15561,12201,986,6.3,1566,0,0,0,7
2020/03/25 11:00:00+00,3865,17336,13471,1136,6.6,1775,10879,741,6.8,8
2020/03/26 11:00:00+00,5975,20712,14737,1584,7.6,3376,13309,1119,8.4,9
2020/03/27 11:00:00+00,7721,23653,15932,1891,8,2941,14781,1321,8.9,10
2020/03/28 11:00:00+00,8583,25859,17276,2555,9.9,2206,15423,1930,12.5,11
2020/03/29 11:00:00+00,9417,27475,18058,2843,10.3,1616,16061,2099,13.1,12
2020/03/30 11:00:00+00,10192,28872,18680,3279,11.4,1397,14877,2422,16.3,13
2020/03/31 11:00:00+00,11204,30800,19596,3657,11.9,1928,15239,2671,17.5,14
2020/04/01 11:00:00+00,12613,32809,20196,4073,12.4,2009,15473,2937,19,15
