date,sex,year,deaths
2015-10-05,M,2015,56
2015-10-06,F,2015,40
2015-10-06,M,2015,48
2015-10-07,F,2015,42
2015-10-07,M,2015,37
2015-10-08,F,2015,32
2015-10-08,M,2015,43
2015-10-09,F,2015,32
2015-10-09,M,2015,43
2015-10-10,F,2015,31
2015-10-10,M,2015,37
2015-10-11,F,2015,38
2015-10-11,M,2015,45
2015-10-12,F,2015,35
2015-10-12,M,2015,47
2015-10-13,F,2015,48
2015-10-13,M,2015,49
2015-10-14,F,2015,41
2015-10-14,M,2015,30
2015-10-15,F,2015,35
2015-10-15,M,2015,42
2015-10-16,F,2015,42
2015-10-16,M,2015,34
2015-10-17,F,2015,40
2015-10-17,M,2015,47
2015-10-18,F,2015,47
2015-10-18,M,2015,38
2015-10-19,F,2015,51
2015-10-19,M,2015,34
2015-10-20,F,2015,41
2015-10-20,M,2015,35
2015-10-21,F,2015,33
2015-10-21,M,2015,45
2015-10-22,F,2015,45
2015-10-22,M,2015,48
2015-10-23,F,2015,42
2015-10-23,M,2015,37
2015-10-24,F,2015,43
2015-10-24,M,2015,47
2015-10-25,F,2015,40
2015-10-25,M,2015,48
2015-10-26,F,2015,50
2015-10-26,M,2015,45
2015-10-27,F,2015,48
2015-10-27,M,2015,39
2015-10-28,F,2015,36
2015-10-28,M,2015,36
2015-10-29,F,2015,37
2015-10-29,M,2015,29
2015-10-30,F,2015,53
2015-10-30,M,2015,39
2015-10-31,F,2015,35
2015-10-31,M,2015,51
2015-11-01,F,2015,32
2015-11-01,M,2015,43
2015-11-02,F,2015,36
2015-11-02,M,2015,41
2015-11-03,F,2015,37
2015-11-03,M,2015,35
2015-11-04,F,2015,40
2015-11-04,M,2015,44
2015-11-05,F,2015,46
2015-11-05,M,2015,45
2015-11-06,F,2015,44
2015-11-06,M,2015,32
2015-11-07,F,2015,30
2015-11-07,M,2015,29
2015-11-08,F,2015,33
2015-11-08,M,2015,34
2015-11-09,F,2015,37
2015-11-09,M,2015,45
2015-11-10,F,2015,41
2015-11-10,M,2015,52
2015-11-11,F,2015,38
2015-11-11,M,2015,31
2015-11-12,F,2015,38
2015-11-12,M,2015,42
2015-11-13,F,2015,24
2015-11-13,M,2015,33
2015-11-14,F,2015,37
2015-11-14,M,2015,35
2015-11-15,F,2015,43
2015-11-15,M,2015,44
2015-11-16,F,2015,30
2015-11-16,M,2015,42
2015-11-17,F,2015,32
2015-11-17,M,2015,35
2015-11-18,F,2015,44
2015-11-18,M,2015,38
2015-11-19,F,2015,57
2015-11-19,M,2015,41
2015-11-20,F,2015,32
2015-11-20,M,2015,46
2015-11-21,F,2015,46
2015-11-21,M,2015,34
2015-11-22,F,2015,27
2015-11-22,M,2015,35
2015-11-23,F,2015,41
2015-11-23,M,2015,38
2015-11-24,F,2015,34
2015-11-24,M,2015,53
2015-11-25,F,2015,28
2015-11-25,M,2015,37
2015-11-26,F,2015,30
2015-11-26,M,2015,49
2015-11-27,F,2015,31
2015-11-27,M,2015,43
2015-11-28,F,2015,30
2015-11-28,M,2015,44
2015-11-29,F,2015,47
2015-11-29,M,2015,32
2015-11-30,F,2015,48
2015-11-30,M,2015,35
2015-12-01,F,2015,38
2015-12-01,M,2015,36
2015-12-02,F,2015,49
2015-12-02,M,2015,32
2015-12-03,F,2015,39
2015-12-03,M,2015,41
2015-12-04,F,2015,37
2015-12-04,M,2015,46
2015-12-05,F,2015,37
2015-12-05,M,2015,46
2015-12-06,F,2015,41
2015-12-06,M,2015,37
2015-12-07,F,2015,41
2015-12-07,M,2015,39
2015-12-08,F,2015,41
2015-12-08,M,2015,46
2015-12-09,F,2015,45
2015-12-09,M,2015,40
2015-12-10,F,2015,47
2015-12-10,M,2015,50
2015-12-11,F,2015,41
2015-12-11,M,2015,49
2015-12-12,F,2015,36
2015-12-12,M,2015,29
2015-12-13,F,2015,45
2015-12-13,M,2015,44
2015-12-14,F,2015,40
2015-12-14,M,2015,43
2015-12-15,F,2015,38
2015-12-15,M,2015,39
2015-12-16,F,2015,44
2015-12-16,M,2015,34
2015-12-17,F,2015,40
2015-12-17,M,2015,59
2015-12-18,F,2015,50
2015-12-18,M,2015,44
2015-12-19,F,2015,57
2015-12-19,M,2015,36
2015-12-20,F,2015,37
2015-12-20,M,2015,38
2015-12-21,F,2015,45
2015-12-21,M,2015,50
2015-12-22,F,2015,55
2015-12-22,M,2015,35
2015-12-23,F,2015,35
2015-12-23,M,2015,38
2015-12-24,F,2015,38
2015-12-24,M,2015,45
2015-12-25,F,2015,50
2015-12-25,M,2015,42
2015-12-26,F,2015,35
2015-12-26,M,2015,44
2015-12-27,F,2015,39
2015-12-27,M,2015,46
2015-12-28,F,2015,46
2015-12-28,M,2015,48
2015-12-29,F,2015,43
2015-12-29,M,2015,51
2015-12-30,F,2015,46
2015-12-30,M,2015,39
2015-12-31,F,2015,37
2015-12-31,M,2015,45
2016-01-01,F,2016,49
2016-01-01,M,2016,47
2016-01-02,F,2016,58
2016-01-02,M,2016,55
2016-01-03,F,2016,47
2016-01-03,M,2016,43
2016-01-04,F,2016,53
2016-01-04,M,2016,44
2016-01-05,F,2016,48
2016-01-05,M,2016,50
2016-01-06,F,2016,63
2016-01-06,M,2016,49
2016-01-07,F,2016,46
2016-01-07,M,2016,38
2016-01-08,F,2016,52
2016-01-08,M,2016,47
2016-01-09,F,2016,52
2016-01-09,M,2016,49
2016-01-10,F,2016,53
2016-01-10,M,2016,47
2016-01-11,F,2016,41
2016-01-11,M,2016,38
2016-01-12,F,2016,38
2016-01-12,M,2016,64
2016-01-13,F,2016,57
2016-01-13,M,2016,48
