Name,Rank,Number of Births,year
Celina,303,8,1971
Delia,303,8,1971
Breeda,303,8,1971
Claudine,303,8,1971
Darina,303,8,1971
Justine,303,8,1971
Roslyn,303,8,1971
Trina,303,8,1971
Lourda,303,8,1971
Sophia,326,7,1971
Lara,326,7,1971
Claudia,326,7,1971
Aishling,326,7,1971
Blathnaid,326,7,1971
Neasa,326,7,1971
Erika,326,7,1971
Samanta,326,7,1971
Lillian,326,7,1971
Pearl,326,7,1971
Antonia,326,7,1971
Selina,326,7,1971
Jocelyn,326,7,1971
Treasa,326,7,1971
Clair,326,7,1971
Loretto,326,7,1971
Marilyn,326,7,1971
Priscilla,326,7,1971
Tania,326,7,1971
Trudy,326,7,1971
Yvette,326,7,1971
Gene,326,7,1971
Treacy,326,7,1971
Zoe,349,6,1971
Clara,349,6,1971
Nina,349,6,1971
Kirsten,349,6,1971
Beatrice,349,6,1971
Julianne,349,6,1971
Dervla,349,6,1971
Gwen,349,6,1971
Cecelia,349,6,1971
Lavinia,349,6,1971
Eibhlin,349,6,1971
Violet,349,6,1971
Angeline,349,6,1971
Assumpta,349,6,1971
Crona,349,6,1971
Deborrah,349,6,1971
Dianne,349,6,1971
Doris,349,6,1971
Dymphna,349,6,1971
Gerardine,349,6,1971
Jeanne,349,6,1971
Johannah,349,6,1971
Lucinda,349,6,1971
Noleen,349,6,1971
Patrice,349,6,1971
Rosalind,349,6,1971
Rosarie,349,6,1971
Shanna,349,6,1971
Vera,349,6,1971
Bernadine,349,6,1971
Glenda,349,6,1971
Gwendolyn,349,6,1971
Petrina,349,6,1971
Richella,349,6,1971
Leah,383,5,1971
Jessica,383,5,1971
Danielle,383,5,1971
Kerry,383,5,1971
Bronwyn,383,5,1971
Honor,383,5,1971
Olwyn,383,5,1971
Sabina,383,5,1971
Edith,383,5,1971
Lelia,383,5,1971
Celia,383,5,1971
Susanna,383,5,1971
Beverley,383,5,1971
Beverly,383,5,1971
Catherina,383,5,1971
Coleen,383,5,1971
Daphne,383,5,1971
Dervilla,383,5,1971
Hanorah,383,5,1971
Jenifer,383,5,1971
Kathy,383,5,1971
Myra,383,5,1971
Nollaig,383,5,1971
Rosaline,383,5,1971
Rosario,383,5,1971
Rowena,383,5,1971
Sheelagh,383,5,1971
Verona,383,5,1971
Zita,383,5,1971
Finuala,383,5,1971
Helene,383,5,1971
Phyllis,383,5,1971
Susann,383,5,1971
Venessa,383,5,1971
Saoirse,417,4,1971
Shauna,417,4,1971
Alicia,417,4,1971
Naoise,417,4,1971
Erica,417,4,1971
Eadaoin,417,4,1971
Hanna,417,4,1971
Sabrina,417,4,1971
Ashleigh,417,4,1971
Sive,417,4,1971
Madeleine,417,4,1971
Jayne,417,4,1971
Colleen,417,4,1971
Selena,417,4,1971
Ailis,417,4,1971
Elva,417,4,1971
Estelle,417,4,1971
Camilla,417,4,1971
Sile,417,4,1971
Suzanna,417,4,1971
Attracta,417,4,1971
Carina,417,4,1971
Charmaine,417,4,1971
Cheryl,417,4,1971
Cornelia,417,4,1971
Elma,417,4,1971
Henrietta,417,4,1971
Jude,417,4,1971
Leigh,417,4,1971
Leonora,417,4,1971
Letitia,417,4,1971
Mildred,417,4,1971
Mona,417,4,1971
Naoimh,417,4,1971
Paulette,417,4,1971
Rena,417,4,1971
Rona,417,4,1971
Virginia,417,4,1971
Annita,417,4,1971
Catrina,417,4,1971
Clarie,417,4,1971
Edele,417,4,1971
Evonne,417,4,1971
Fionna,417,4,1971
